x,T
-0.5,414.3349551
-0.47997314,520.4126653
-0.459979177,560.7976587
-0.439937288,580.5571557
-0.420028709,592.1691108
-0.400029829,599.6562163
-0.379606754,604.8990493
-0.359530084,609.4502301
-0.33989032,613.0648976
-0.319159568,616.6797111
-0.299520242,619.491703
-0.279662792,622.1699448
-0.259587509,624.1793194
-0.23973035,626.3224441
-0.219437015,628.0642894
-0.199580002,629.9398555
-0.179941552,631.1464961
-0.159648582,632.219445
-0.140010132,633.4260856
-0.119499037,634.3652844
-0.099424556,634.903087
-0.07934993,635.7084482
-0.059930115,636.1123839
-0.039855635,636.6501865
-0.019563175,636.7866805
0.000510648,636.1204697
0.020585129,636.6582723
0.040004797,636.7946495
0.060297038,636.5298056
0.080370935,635.997374
0.100444612,635.0636046
0.120518436,634.3973938
0.140592041,633.3298451
0.160229251,632.262238
0.180521199,631.4622771
0.200376314,629.8595821
0.220231357,628.1231079
0.24030467,626.5204421
0.260377691,624.3826592
0.280232514,622.2448472
0.300523295,619.3044178
0.319504817,616.2300341
0.340668388,613.2897215
0.360303992,609.2789704
0.380375919,605.1344985
0.400029829,599.6562163
0.420028709,592.1691108
0.439937288,580.5571557
0.459979177,560.7976587
0.47997314,520.4126653
0.5,414.3349551
